Нет я не бот | ты точно не бот?
Миху вот сюда нарислвала, ахах, но аниме тоже, хихи | Что рисуешь? Аниме?
Оооо жиза | особенно когда в частном доме и по несколько недель сподряд больше 10 см снега ежедневно
Жестко ты со снегом) | Я пидец как ненавижу зимнюю холожную погоду когда этот мерзкий снег лежит
Что рисуешь? Аниме? | Даа, привет) Я рисовала и занималась)
особенно когда в частном доме и по несколько недель сподряд больше 10 см снега ежедневно | Надоедает наверно, чистить без конца😂
это да) | Я пидец как ненавижу зимнюю холожную погоду когда этот мерзкий снег лежит
Даа, привет) Я рисовала и занималась) | Привет, ты вернулась 🥳🤩
Ну им наверное не совсем прикольно 😅 | Прикольно
Я пидец как ненавижу зимнюю холожную погоду когда этот мерзкий снег лежит | У меня одноклассник был, с севера приехал, его братыш не мог жить в теплом климате, ему плохо становилось и они обратно умотали на север
камбэк | Тут как раз буквально в нескольких часах от города есть Хибины, там разные туры на снегоходах есть) правда сам так и не добрался до них(
Тут как раз буквально в нескольких часах от города есть Хибины, там разные туры на снегоходах есть) правда сам так и не добрался до них( | блин очень хочу погонять на снегоходе по горам))
Привет, ты вернулась 🥳🤩 | Три сейчас, но третий не могу выложить(
Нормально всё, у тебя как? | Как дела парни?
Прикольно | У меня одноклассник был, с севера приехал, его братыш не мог жить в теплом климате, ему плохо становилось и они обратно умотали на север
Надоедает наверно, чистить без конца😂 | у меня месяцев 5 лежит снег
Три сейчас, но третий не могу выложить( | Сколько у тебя уже их?
Нет | У кого-то такое было?
Сколько у тебя уже их? | Почему у меня не выгружаются артыы
У меня одноклассник был, с севера приехал, его братыш не мог жить в теплом климате, ему плохо становилось и они обратно умотали на север | Это ужас я месяц-два немогу пережить
у меня месяцев 5 лежит снег | У нас в Армавире зама максимум месяц нормальная, бывает и и неделю снег лежит только
блин очень хочу погонять на снегоходе по горам)) | Зато если любишь лыжи/сноуборд, то считай на покатушки всегда найдется время, ну или на снегоходе погонять)
Ну да 
Всегда есть свои плюсы | Зато если любишь лыжи/сноуборд, то считай на покатушки всегда найдется время, ну или на снегоходе погонять)
да! срочно | срочно всем
срочно всем | всем вл)) срочно)))
блин клево | Зато если любишь лыжи/сноуборд, то считай на покатушки всегда найдется время, ну или на снегоходе погонять)
Зато если любишь лыжи/сноуборд, то считай на покатушки всегда найдется время, ну или на снегоходе погонять) | Это ужас я месяц-два немогу пережить
Я ща не найду уже, там накидали новых, но если не в падлу найди, оно того стоит | скиньте тоже глянуть)))
У нас в Армавире зама максимум месяц нормальная, бывает и и неделю снег лежит только | Природа классная, а город маленький ну и лето короткое, а зима почти 6 месяцев)
всем вл)) срочно))) | Вл бы не помешал бы)
Это ужас я месяц-два немогу пережить | зима 6 месяцев это брррр
не мерзнешь? | Природа классная, а город маленький ну и лето короткое, а зима почти 6 месяцев)
зима 6 месяцев это брррр | Природа классная, а город маленький ну и лето короткое, а зима почти 6 месяцев)
с балтики) | оке)
оке) | Да, придётся поискать, бро)
А ты откуда сам? | о да)))
Природа классная, а город маленький ну и лето короткое, а зима почти 6 месяцев) | ого! и как там?
эххх | Да, придётся поискать, бро)
Конечно, много таких работ | а есть вариант не через фотошоп? если от руки рисовать?
Все супер | Как вы тут?
о да))) | Я из Армавира) центр мира 😅
Да, придётся поискать, бро) | а где глянуть можно? ссылки нет случайно? или в <#921814205206765616> искать))
Я из Армавира) центр мира 😅 | Я стою и воркаю) Ты как сам вообще? Откуда будешь?
нормалек) | Как вы тут?
лучще всех | Как вы тут?
Ну да)) | Жесть, пахарь просто, зато интересно 😂
Какой уже у тебя лвл? | Прийду домой буду в мэйне общаться
9 пока, почти 10 вроде. Как пиццу вчера покушал? | Тоже бро какой лвл уже апнул?
Сейчас нет, а так бывает)) | Холодно у вас?
а где глянуть можно? ссылки нет случайно? или в <#921814205206765616> искать)) | Конечно! Тут чел в фан Арты скинул, как из дерева фигурку сделал и попал в вайтлист
Жесть, пахарь просто, зато интересно 😂 | Ночи не спал вчера даже)))
ого! и как там? | Мурманск
Во-во! Ещё один рисунок карандашом и тоже попал в вайтлист | Я видел, прикольно вышло у него
Холодно у вас? | Мурманск
Украина Ровно | Мурманск
Тоже бро какой лвл уже апнул? | Хорошо, бро! Ты как?
скиньте тоже глянуть))) | Я видел, прикольно вышло у него
да прикольно вышло | Конечно! Тут чел в фан Арты скинул, как из дерева фигурку сделал и попал в вайтлист
Кассава пацанчик💪🏿 | Конечно! Тут чел в фан Арты скинул, как из дерева фигурку сделал и попал в вайтлист
Я видел, прикольно вышло у него | Конечно! Тут чел в фан Арты скинул, как из дерева фигурку сделал и попал в вайтлист
Ночи не спал вчера даже))) | А сколько часов в день тут зависал?
Я стою и воркаю) Ты как сам вообще? Откуда будешь? | На кровати чилю, а ты?
красавец))) креативно))) | Конечно! Тут чел в фан Арты скинул, как из дерева фигурку сделал и попал в вайтлист
А сколько часов в день тут зависал? | 2,5 дня
Конечно! Тут чел в фан Арты скинул, как из дерева фигурку сделал и попал в вайтлист | а есть вариант не через фотошоп? если от руки рисовать?
оке) возьму на вооружение) | Надеюсь!
Да вроди кидают от руки | а есть вариант не через фотошоп? если от руки рисовать?
Надеюсь! | Думаю 11-12 сегодня сможешь добить
я думаю так даже лучше) | а есть вариант не через фотошоп? если от руки рисовать?
ну да, тут оч скучно | Хорошист вообще?
Машина 💪🏿 | 2,5 дня
а есть вариант не через фотошоп? если от руки рисовать? | Ну смотря какие)) Я давно фотошоп не юзал, поэтому не менее 2-х часов на каждую работу уходило))
Хорошо, бро! Ты как? | Как вы там?
Хорошист вообще? | да я и на парах ничего не делаю
Детство | Ностальджи
2,5 дня | За какое время поднял?
общаемся | Чем занимаетесь, ребятки?)
Ностальджи | Букиных смотрю
что бы он потом работал на нас))) | Работаем на вл))
На кровати чилю, а ты? | Чем занимаетесь, ребятки?)
Букиных смотрю | Чем занимаетесь, ребятки?)
Ну смотря какие)) Я давно фотошоп не юзал, поэтому не менее 2-х часов на каждую работу уходило)) | сложно арты вообще рисовать?
работаем) | Чем занимаетесь, ребятки?)
сейчас так много инфоциган, даже  не знаю | Кто может посоветовать какие либо онлайн курсы?
Работаем на вл)) | Чем занимаетесь, ребятки?)
Они все платные | Кто может посоветовать какие либо онлайн курсы?
да я и на парах ничего не делаю | Это все так😂💪🏿
СПб | парни кто откуда) делитесь)
Это все так😂💪🏿 | мы абсолютно ничего не делаем
мы абсолютно ничего не делаем | Эта такая тема, ни рыбо ни мясо
не могу найти твой | Окс!
Привет Да 
За общение | Всем привет, а в этом чате опыт капает?
Здаров, да | Всем привет, а в этом чате опыт капает?
Эта такая тема, ни рыбо ни мясо | а у нас дистант
Уес | Всем привет, а в этом чате опыт капает?
Думаю 11-12 сегодня сможешь добить | У меня 9-ый, но я просто был занят артами))
у меня она до нг была | У тебя после сессии выходные были?
У тебя после сессии выходные были? | блин в понедельник уже на пары
а у нас дистант | Сегодня был уже
Сегодня был уже | блин в понедельник уже на пары
думаю, что да) | сложно арты вообще рисовать?
За какое время поднял? | У меня 9-ый, но я просто был занят артами))
сложно арты вообще рисовать? | У меня 9-ый, но я просто был занят артами))
У меня 9-ый, но я просто был занят артами)) | 12лвл
Хочу сегодня до 15лвл апнуть
ахахаххааха) хорошо) | О, ну привет ему передавай) Хоть я его и незнаю)))
👍🏻😎 | я не сомневаюсь)
О, ну привет ему передавай) Хоть я его и незнаю))) | У меня там живет челик, с которым в доту часто играли))
и тебе!) | Спасибо!
Желаю тебе удачи
Спасибо!
Желаю тебе удачи | у тебя все получится
я не сомневаюсь) | Воронеж нормальный город😎
Окс! | минут через 40 ждем новости в <#921814205206765612>  заходите
у тебя все получится | 12лвл
Хочу сегодня до 15лвл апнуть
12лвл
Хочу сегодня до 15лвл апнуть | и как упехи
Воронеж нормальный город😎 | У меня там живет челик, с которым в доту часто играли))
Душевно | да легко))
да легко)) | А мои чекнешь, бро?
и как упехи | Пишемся здесь
А мои чекнешь, бро? | сколько крутых талантов) вам надо свои коллекции выпускать!!!!
А ещё момент в том, чтобы расти в доходе и постоянно развиваться в нише, нужно продолжать пахать | Мои знакомые начинали очень кропотливо, но сейчас уже привыкли и «на отвали» рубят хорошее лаве
У меня там живет челик, с которым в доту часто играли)) | Знаю) Я с Воронежа буду)
Именно! | Ну тут вопрос в том, что в начале чтобы что-то заработать нужно хорошо потрудиться
Пишемся здесь | Чем занимаетесь?)
Ну тут вопрос в том, что в начале чтобы что-то заработать нужно хорошо потрудиться | Мои знакомые начинали очень кропотливо, но сейчас уже привыкли и «на отвали» рубят хорошее лаве
сколько крутых талантов) вам надо свои коллекции выпускать!!!! | Ребята, поддержите мой арт, пожалуйста. Поставьте огоньков <#921814205206765616>
Знаю) Я с Воронежа буду) | если знаешь что это за город 😄
Так со всем) | надо изучить все
если знаешь что это за город 😄 | Хах, ну удачи тебе! Ты вообще сам откуда?
Мои знакомые начинали очень кропотливо, но сейчас уже привыкли и «на отвали» рубят хорошее лаве | Да, согласен, если на отвали делать и думать о хороших деньгах, то они вряд ли появятся
Ижевск | Хах, ну удачи тебе! Ты вообще сам откуда?
боюсь быстро тут не получится заработать | уже хотелось бы заработать)
Хах, ну удачи тебе! Ты вообще сам откуда? | уже хотелось бы заработать)
как это | а че активчик пропал
уже хотелось бы заработать) | Да ничего страшного, брат. Я сам в этой сфере недавно, но по опыту других знаю, что заработать можно прилично)
Окс! Спасибо! | Да ничего страшного, брат. Я сам в этой сфере недавно, но по опыту других знаю, что заработать можно прилично)
опасно конечно | люди которым проще купить акк чем самому гриндить
Да ничего страшного, брат. Я сам в этой сфере недавно, но по опыту других знаю, что заработать можно прилично) | Ну именно у тебя как? Извини, если лишнее спрашиваю, бро
люди которым проще купить акк чем самому гриндить | это кто?
Да, согласен, если на отвали делать и думать о хороших деньгах, то они вряд ли появятся | Нужно много времени уделять этой нише тогда и будет какой-то результат
жестко | челы которые акки брали по 2к$ просто ушли в дикий минус
Жостка | челы которые акки брали по 2к$ просто ушли в дикий минус
это кто? | челы которые акки брали по 2к$ просто ушли в дикий минус
Уффффф | челы которые акки брали по 2к$ просто ушли в дикий минус
Нужно много времени уделять этой нише тогда и будет какой-то результат | В любой теме можно нормально зарабатывать, все зависит от того, как качественно ты это делаешь
Ну именно у тебя как? Извини, если лишнее спрашиваю, бро | Конечно можно, но если много работать и трудится
Не, а что сними? | видели что с утками было?
Конечно можно, но если много работать и трудится | Извини за личный вопрос, просто мне самому 17 и я только вот недавно в этой теме. Нормально в этой сфере заработать можно?
В любой теме можно нормально зарабатывать, все зависит от того, как качественно ты это делаешь | Извини за личный вопрос, просто мне самому 17 и я только вот недавно в этой теме. Нормально в этой сфере заработать можно?
Что? | видели что с утками было?
Что там было? | видели что с утками было?
не нфт | фу ненавижу людейкоторые продают, просто проекты скамятся изза этого
Извини за личный вопрос, просто мне самому 17 и я только вот недавно в этой теме. Нормально в этой сфере заработать можно? | Ну почему бы и нет
Спасибо пацаны. А тебе сколько лет? | Да, реально хорош!
продажу осуждаем | но такое асуждаем
+ | но такое асуждаем
Да, реально хорош! | 15
это хорошо | Ну почему бы и нет
Ну почему бы и нет | и уже минтишь? хорош.
и уже минтишь? хорош. | 15
15 | А тебе сколько лет?
А тебе сколько лет? | Прикольно
Удачной Дороги! | Всем продуктивного дня!
Давай. Удачи тебе! | Ладно, ребятки, погнал я слушать музыку. А-то мне ехать ещё очень долго, а батарейка айфона 7 такие ситуации не уважает
Это уже на опыте, хотя кто-то этого не понимает 😅 | Респект за такие слова бро
молодчик | почти 17 лвл
Прикольно | У меня там кореша живут некоторые)
Есть типы которые начинают грубить и хамить ментам например, преподам - это глупо выглядит, от них многое иногда зависит, а ты отношение с ними портишь | Да, все мы люди, все вопросы можно обкашлить по нормальному, адекватно. Главное из себя ничего не строить и не газовать
Воркаем
Предлагай тему для разговора | Давайте воркайте активнее
Респект за такие слова бро | Да, все мы люди, все вопросы можно обкашлить по нормальному, адекватно. Главное из себя ничего не строить и не газовать
спасибо | Оценил 
Нормалек
и с тобой тоже бро | Давай бро, с тобоц все рус комьюнити
Оценил 
Нормалек | оцените артик
Не думаю, но очень на это надеюсь чувак, прям гипер сега надеюсь | ты вот вот получишь вл
Да, все мы люди, все вопросы можно обкашлить по нормальному, адекватно. Главное из себя ничего не строить и не газовать | Ну да) Да на самом деле я даже не презираю ментов, которые берут взятки. Я презираю тех, которые специально создают ситуацию, которая провоцирует водителя дать взятку. 

Дэпам тоже суетиться надо, чтобы их не запалили. Просто ситуации разные бывают. Если, к примеру, ДПС остановили бы какого-нибудь алкаша в щи пьяного и отпустили бы за взятку - это уже мусор. А если бы за пересечение сплошной (в таковую ситуацию попадали мы с отцом), при том, что её не видно было, а знак мы тоже не увидели, то это уже нормальные мент
Да, я тоже так считаю | норм за 3 дня)
ты вот вот получишь вл | Почти 3 дня, но уже много чего сделал я считаю, будешь очень активным, будет кр уто
Давай бро, с тобоц все рус комьюнити | вроде немного получается
норм за 3 дня) | Почти 3 дня, но уже много чего сделал я считаю, будешь очень активным, будет кр уто
Благодарю | Поставил
Почти 3 дня, но уже много чего сделал я считаю, будешь очень активным, будет кр уто | ты давно на проекте?
Поставил | Ребята, поддержите мой арт, пожалуйста. Поставьте огоньков <#921814205206765616>
вроде немного получается | Ты со временем привыкнешь, это не так сложно как кажется, со временем ты будешь делать это очень быстро
ты давно на проекте? | Ты со временем привыкнешь, это не так сложно как кажется, со временем ты будешь делать это очень быстро
У меня там кореша живут некоторые) | Ооо, прикольно. Я с Воронежа
Ну да) Да на самом деле я даже не презираю ментов, которые берут взятки. Я презираю тех, которые специально создают ситуацию, которая провоцирует водителя дать взятку. 

Дэпам тоже суетиться надо, чтобы их не запалили. Просто ситуации разные бывают. Если, к примеру, ДПС остановили бы какого-нибудь алкаша в щи пьяного и отпустили бы за взятку - это уже мусор. А если бы за пересечение сплошной (в таковую ситуацию попадали мы с отцом), при том, что её не видно было, а знак мы тоже не увидели, то это уже нормальные мент | Аа, ну и такое бывает, просто некоторые не понимают что можно по факту договориться с людьми
Ты со временем привыкнешь, это не так сложно как кажется, со временем ты будешь делать это очень быстро | пытаюсь пока что
Ооо, прикольно. Я с Воронежа | Краснодарский край
пытаюсь пока что | Там сейчас чат очень активен, проявляй себя, скоро раздача вайтлиста
Краснодарский край | Я нормально, вот лежу воркаю. Ты откуда будешь?
Армавир | Я нормально, вот лежу воркаю. Ты откуда будешь?
Я нормально, вот лежу воркаю. Ты откуда будешь? | Ты как сам?
Там сейчас чат очень активен, проявляй себя, скоро раздача вайтлиста | залетаю
8888 нфт всего а Вл где-то 1000-1500будет скорее всего | 8888 вл в итоге или меньше? запутался
Все, понял | В этом чате что-то должны скинуть
скинут сюда | Или нужно куда-то зайти?
Ты как сам? | Ребята, как дела вообще у вас?
В этом чате что-то должны скинуть | Или нужно куда-то зайти?
Вроде нормально, но трудности тоже бывают 😅👌🏿 | Ребята, как дела вообще у вас?
8888 вл в итоге или меньше? запутался | Всего 8888нфт
а мы что тут делаем? | Нужно получать Вл
Нужно получать Вл | ну многие минтят по 3, так что)
Или нужно куда-то зайти? | Будем через час смотреть
ну многие минтят по 3, так что) | Всего 8888нфт
В этом чате просто выберете? | Будем через час смотреть
Всего 8888нфт | много, а сколько всего?
Аа, ну и такое бывает, просто некоторые не понимают что можно по факту договориться с людьми | Думаешь, я не предлагал? Конечно же я понимал, что меня ждёт. Но я угонял, все записали камеры. Это моя ошибка. Они моего отца хорошо знали, уважали его, но все равно были бессильны
Будем через час смотреть | А как залететь?
много, а сколько всего? | 400-500 человек
понял, благодарю тебе) | розовые ники тут получили
тут еще не было минта | вчера кто то что то минтил?
розовые ники тут получили | а кто вл получил? насколько сложно?
Брооо💪💪💪 | Я сам из провинции 
Я понимаю тебя
старайся, вроде не сильно сложно | а кто вл получил? насколько сложно?
А как залететь? | Ждём !!
400-500 человек | а кто вл получил? насколько сложно?
Думаешь, я не предлагал? Конечно же я понимал, что меня ждёт. Но я угонял, все записали камеры. Это моя ошибка. Они моего отца хорошо знали, уважали его, но все равно были бессильны | 5к в карман положил бы ментам, они бы тебя ещё сопроводили до твоей хаты
Нормальная цена | мало?
Спасибо 🥰 | Прикольно, ну удачи тебе,друг!)))
мало? | Думаю .0.15-0.25 будет
спасибо!! | https://discord.com/channels/921814203734585344/921814205206765612/941348133319893042 через час <#921814205206765612>
Прикольно, ну удачи тебе,друг!))) | У мен тоже не чего, сижу над артом думаю. Хочу что нибудь новое сделать
Я сам из провинции 
Я понимаю тебя | Дааа) И это далекоооо не все ситуации) В провинции очень многого повидаешь, бро!
пока не известно, но где-то 0.2-0.5) мое мнение, само собой | https://discord.com/channels/921814203734585344/921814205206765612/941348133319893042 через час <#921814205206765612>
Думаю .0.15-0.25 будет | а какая цена минта?
<#937099798358671401> | а какая цена минта?
да у меня норм все, а ты как? | Здарова, как дела у тебя?
Дааа) И это далекоооо не все ситуации) В провинции очень многого повидаешь, бро! | Аххахахах 
Ну ты мочишь конечно
У мен тоже не чего, сижу над артом думаю. Хочу что нибудь новое сделать | Настроение огонь, всё отлично. У тебя как?
жестко) | Помню, как в мои 15 лет меня поймали на машине. А я ещё угонять начал. В итоге остановился в первом дворе, сказал девочке(это была ее машина), чтобы она челов за руль, так как у неё были права. Но в этот момент они подъезжали сзади и все записал регистратор. Меня ещё из машины вытаскивали, пытались заломать и говорил: «Мы тебя знаем, Серега! Попался!» А весь прикол в том, что я не Серега, АХАХАХ. Я там заливался короче. Но когда штраф дали девочке и мне, который оплатить надо было мне (75К) - было не до смеха...
залетаю | конечно надо, давай залетай
Ждём !! | остался 1 час

https://discord.com/channels/921814203734585344/921814206045626439/941319016549605396
Здарова, как дела у тебя? | Всем привет
ну в таком случае наверное да | Да, не отрицаю, но именно он - всегда вытаскивал меня из дерьмовых ситуаций, в огне и воде, днём и ночью. Так что ту даже не думаю о другом
5к в карман положил бы ментам, они бы тебя ещё сопроводили до твоей хаты | Всм?
Всм? | Нужно такие моменты по факту решать
Да, не отрицаю, но именно он - всегда вытаскивал меня из дерьмовых ситуаций, в огне и воде, днём и ночью. Так что ту даже не думаю о другом | иногда все таки не стоит тащить таких людей за собой если они уже долго этого не хотят
Нужно такие моменты по факту решать | Помню, как в мои 15 лет меня поймали на машине. А я ещё угонять начал. В итоге остановился в первом дворе, сказал девочке(это была ее машина), чтобы она челов за руль, так как у неё были права. Но в этот момент они подъезжали сзади и все записал регистратор. Меня ещё из машины вытаскивали, пытались заломать и говорил: «Мы тебя знаем, Серега! Попался!» А весь прикол в том, что я не Серега, АХАХАХ. Я там заливался короче. Но когда штраф дали девочке и мне, который оплатить надо было мне (75К) - было не до смеха...
Настроение огонь, всё отлично. У тебя как? | Как настроение? И вообщем житуха?
конечно надо, давай залетай | надо попробовать
По факту, саморазвитие необходимая вещь | главное думать о себе и своем развитии, а  девушки приходят и уходят. а ты остаешься с тем же собой
Аххахахах 
Ну ты мочишь конечно | Помню, как в мои 15 лет меня поймали на машине. А я ещё угонять начал. В итоге остановился в первом дворе, сказал девочке(это была ее машина), чтобы она челов за руль, так как у неё были права. Но в этот момент они подъезжали сзади и все записал регистратор. Меня ещё из машины вытаскивали, пытались заломать и говорил: «Мы тебя знаем, Серега! Попался!» А весь прикол в том, что я не Серега, АХАХАХ. Я там заливался короче. Но когда штраф дали девочке и мне, который оплатить надо было мне (75К) - было не до смеха...
Как настроение? И вообщем житуха? | Ага
главное думать о себе и своем развитии, а  девушки приходят и уходят. а ты остаешься с тем же собой | Да, главное сильно не грузиться этим вопросом
Ага | О ты тоже тут?
Да про друга своего)) | Я пропустил, ты про кого?
О ты тоже тут? | Салам
Помню, как в мои 15 лет меня поймали на машине. А я ещё угонять начал. В итоге остановился в первом дворе, сказал девочке(это была ее машина), чтобы она челов за руль, так как у неё были права. Но в этот момент они подъезжали сзади и все записал регистратор. Меня ещё из машины вытаскивали, пытались заломать и говорил: «Мы тебя знаем, Серега! Попался!» А весь прикол в том, что я не Серега, АХАХАХ. Я там заливался короче. Но когда штраф дали девочке и мне, который оплатить надо было мне (75К) - было не до смеха... | Я знаю 
Но ощущение классные
Салам | Саламчик
Спасибо! Взаимно | Оооо прикольно. Ну удачи тебе)
ну это тоже верно | Но и полагаться только на судьбу нельзя
Оооо прикольно. Ну удачи тебе) | Здесь общаюсь,пью чай и смотрю Букиных
Вечерком в баньку
надо попробовать | чат летит и там много русских, залетайте, в стороне не окажитесь
Саламчик | всем привет
тоже верно | Но и полагаться только на судьбу нельзя
Да, главное сильно не грузиться этим вопросом | главное самоу разиваться, а нужная девушка тебя и сама найдет в нужный период времени
привет | всем привет
Но и полагаться только на судьбу нельзя | главное самоу разиваться, а нужная девушка тебя и сама найдет в нужный период времени
Здесь общаюсь,пью чай и смотрю Букиных
Вечерком в баньку | Тоже отлично, чем занят?
Приет💪🏿 | Дарова парни, как дела?
главное самоу разиваться, а нужная девушка тебя и сама найдет в нужный период времени | Когда думаешь о том чтобы с девушкой провести темное время суток, то многие девушки кажутся тебе хорошими, но в жизни тебе не все подойдут
Я пропустил, ты про кого? | Конечно) Он такой чел, о каких обычно в книгах пишут и в фильмах показывают. Ну реально! Мне даже не верят иногда, когда я рассказываю о нем, о его жизни. Да и сам я до сих пор недоумеваю, как он жив ещё
✊🏿✊🏿💪🏿💪🏿 | я вернулся
Тоже отлично, чем занят? | Привет 
Отлично 
Ты как?
чат летит и там много русских, залетайте, в стороне не окажитесь | а что там?
иногда все таки не стоит тащить таких людей за собой если они уже долго этого не хотят | Конечно) Он такой чел, о каких обычно в книгах пишут и в фильмах показывают. Ну реально! Мне даже не верят иногда, когда я рассказываю о нем, о его жизни. Да и сам я до сих пор недоумеваю, как он жив ещё
Привет 
Отлично 
Ты как? | Всем привет, как у вас дела?
Когда думаешь о том чтобы с девушкой провести темное время суток, то многие девушки кажутся тебе хорошими, но в жизни тебе не все подойдут | это наверное первое о чем все думают, и только потом понимают что происходит
Даааа | Я знаю 
Но ощущение классные
Что там?) | йо ребят это так здорово, заходите в мейн чат
а что там? | йо ребят это так здорово, заходите в мейн чат
❤️ | Готово
Конечно) Он такой чел, о каких обычно в книгах пишут и в фильмах показывают. Ну реально! Мне даже не верят иногда, когда я рассказываю о нем, о его жизни. Да и сам я до сих пор недоумеваю, как он жив ещё | Да нужно помочь обязательно
Готово | Можете опять прореагировать на артик, случайно удалил картинку))) ссылочка в описании
это наверное первое о чем все думают, и только потом понимают что происходит | И когда с девками знакомишься, не думать в первую очередь о том, о чем все молодые парни думают😂😅
Типо просто на форумы залетаешь, в чаты, группы | Ты можешь везде найти таких знакомых
Та у меня очень много сезонов Букиных ещё | А я тебе вчера сериал советовала?
Согласен | просто читай литературу, найди себя в этой сфере и больше практикуйся
Ты можешь везде найти таких знакомых | Нет знакомых даже кто в этой сфере шарит
Я знаю 
Но ощущение классные | Во-во! Я тоже. Воспоминания очень классные на самом деле (адреналин, все дела), но к этому стремиться всё-таки не стоит
И когда с девками знакомишься, не думать в первую очередь о том, о чем все молодые парни думают😂😅 | Была девушка одна. Чет промешковал и потерял
А я тебе вчера сериал советовала? | Смотрю Букиных и здесь общаюсь
просто читай литературу, найди себя в этой сфере и больше практикуйся | Нет знакомых даже кто в этой сфере шарит
Во-во! Я тоже. Воспоминания очень классные на самом деле (адреналин, все дела), но к этому стремиться всё-таки не стоит | Попадал несколько раз в такие странные ситуации
Все же главное не спешить в выборе супруги | Была девушка одна. Чет промешковал и потерял
Смотрю Букиных и здесь общаюсь | кто что делает
ну это точно | Но если ты сам ее создаёшь себе своим поведением, то это не к лучшему)
